REF. OBJET;PERIODE;PRIME ;PUISS.OBJET;MARQUE.OBJET;USAGE;VALEUR ASSURE;AGE.CONDUCTEUR;AGE.OBJET;SINISTRALITE;NATURE.SIN;DATE.SIN;MONTANT REMBOURSE;SIN.2021
6244TU178;180;314 772;5;CITROEN ;3;10 000 000;46;11;0;;;0;0
2083TU220;364;726 096;5;CITROEN;3;20 000 000;29;6;0;BG;14/09/2021; 720 000?;1
195TU78;180;480 062;10;RENAULT;3;10 000 000;28;29;0;;;0;0
4000TU221;364;3 396 015;7;VOLKSWAGEN;3;59 000 000;10;1;0;;;0;0
4219TU221;364;4 814 907;8;SPORTAGE;1;119 980 000;4;1;0;;;0;0
5355TU184;364;748 484;7;FIAT;3;20 000 000;22;11;0;;;0;0
723TU79;180;385 534;10;ISUZU;3;10 000 000;25;25;0;;;0;0
1688TU151;180;271 596;12;VOLKSWAGEN;1;15 000 000;61;15;0;;;0;0
9560TU188;180;293 432;7;NISSAN;1;20 000 000;26;6;0;;;0;0
3899TU159;364;853 671;7;PEUGEOT;3;18 000 000;35;10;0;;;0;0
602TU183;180;434 937;7;PEUGEOT;3;8 000 000;22;11;0;;;0;0
3859TU106;364;321 466;4;RENAULT;1;8 000 000;41;20;0;;;0;0
2908TU142;180;361 689;7;CITROEN;3;8 000 000;26;17;0;;;0;0
8391TU68;180;433 020;16;BERLIET;2;10 000 000;42;49;0;;;0;0
3589TU132;364;663 508;5;RENAULT;1;15 000 000;39;17;0;;;0;0
RS203370;180;556 544;8;OPEL;1;40 000 000;56;17;0;BG;20/02/2021;567 373;1
4022TU195;364;881 228;5;CITROEN;3;10 000 000;59;5;0;BG;07/06/2021;563 691;1
7292TU71;180;416 793;11;TOYOTA;1;8 000 000;23;27;0;;;0;0
8976TU161;364;523 943;5;KIA;1;26 000 000;50;10;0;;;0;0
3701TU194;180;299 016;5;RENAULT;1;21 500 000;33;14;0;;;0;0
4383TU182;364;564 332;6;PEUGEOT ;1;10 000 000;66;12;0;;;0;0
9815TU205;364;799 799;7;RENAULT ;3;8 000 000;57;23;0;;;0;0
8947TU52;180;274 593;4;RENAULT;1;12 000 000;39;37;0;;;0;0
6678TU93;180;341 931;5;PEUGEOT ;1;12 000 000;50;22;0;;;0;0
5098TU120;180;361 689;10;MITSUBISHI;3;8 000 000;28;16;1;;;0;0
1878TU195;180;303 216;5;CITROEN;1;21 000 000;42;9;0;;;0;0
3239TU150;180;314 516;5;PEUGEOT;1;10 000 000;47;11;0;;;0;0
6333TU129;364;519 579;6;RENAULT;3;8 000 000;48;31;0;;;0;0
9046TU149;364;402 831;5;VOLKSWAGEN;1;20 000 000;52;11;0;;;0;0
1783TU111;180;254 496;6;RENAULT;1;10 000 000;43;21;0;;;0;0
314TU195;180;563 548;7;MERCEDES-BENZ;3;20 000 000;4;9;0;BG;05/02/2021;495 000;1
488TU104;179;482 665;7;VOLKSWAGEN;1;10 000 000;35;20;0;;;0;0
1682TU166;180;482 174;7;CITROEN ;3;15 000 000;43;9;0;;;0;0
